gene.symbol,log.expect
Elp3,-1.7
Hspbap1,-1.7
Gm600,-1.6
Lime1,-1.6
Rpn2,-1.6
Ubp1,-1.6
Wars,-1.6
Adam10,-1.5
EG667741,-1.5
Erbb2ip,-1.5
Exosc8,-1.5
Itgb4,-1.5
LOC100044642,-1.5
Os9,-1.5
Actb,-1.4
Actbl2,-1.4
Actg1,-1.4
AI427122,-1.4
Cass4,-1.4
Grin2a,-1.4
Por,-1.4
Scg2,-1.4
Trim10,-1.4
1700048O14Rik,-1.3
Cc2d1a,-1.3
EG434179,-1.3
Ermap,-1.3
Itgb7,-1.3
Nle1,-1.3
Pbld,-1.3
Podxl2,-1.3
Rab39,-1.3
Rapgefl1,-1.3
Tcl1b1,-1.3
2310028O11Rik,-1.2
Ap2a1,-1.2
Ap2a2,-1.2
Gpr125,-1.2
Hesx1,-1.2
Hoxa13,-1.2
Inpp5f,-1.2
Kcnq4,-1.2
Lnx1,-1.2
LOC100046333,-1.2
LOC631806,-1.2
Nr1i2,-1.2
Zcchc2,-1.2
Zfp423,-1.2
Znrf3,-1.2
5330438D12Rik,-1.1
Adam2,-1.1
Adamts13,-1.1
Adamts16,-1.1
Arhgap20,-1.1
Dock9,-1.1
Lamc3,-1.1
LOC675403,-1.1
Oprs1,-1.1
Slc13a3,-1.1
Smc2,-1.1
Tm7sf3,-1.1
Tnik,-1.1
Tnpo3,-1.1
Ypel1,-1.1
Ypel2,-1.1
1300017J02Rik,-1.0
D830050J10Rik,-1.0
EG232930,-1.0
ENSMUSG00000060419,-1.0
Mlph,-1.0
Olfr54,-1.0
Tfam,-1.0
